Feature,H-statistic,p-value
0,907.3083190937787,1.7022678318485052e-188
1,894.7577352091563,8.554778719051951e-186
2,856.3404816227915,1.5788775488683405e-177
3,921.2639936392877,1.6867480900719937e-191
4,915.0600690698641,3.651766803933028e-190
5,876.3669609090925,7.75744438416052e-182
6,462.9658521263067,3.5780306254795447e-93
7,791.1480346656682,1.6500210989823208e-163
8,863.381225910553,4.826824596262285e-179
9,598.9683043779651,2.929471787497661e-122
