0,1,2,3,4,5,6,7,8,9
0.0009420865527614489,0.054506011627345516,5.556409029608103e-12,6.031907419520498e-09,2.0030863957170914e-14,1.0843194548337618e-11,3.5544506360632396e-10,3.618873288134488e-05,2.7018613759620264e-07,7.388066235625494e-13
1.0263947630757879e-11,3.82851339155448e-06,1.8887982055088425e-14,7.341602332113158e-09,4.6869671607725065e-14,5.78975784316189e-10,7.473094103242274e-10,6.7901941180911965e-06,0.003122402920801821,2.04531930858744e-14
2.3844886065198612e-14,4.650206568672833e-07,1.0492542315671636e-11,8.643522590462694e-15,1.2100759060729072e-14,1.3129499954944728e-13,1.6430830519200183e-08,4.787285377137336e-16,3.1461376735370325e-06,5.789934387673434e-20
9.33904469750293e-16,1.1917195053870366e-16,1.2947255731719677e-12,3.883276142870921e-05,6.0129813611651535e-05,0.0003111602059251173,7.0312745044589815e-06,4.0167094617210294e-17,4.360871160857982e-09,1.1669217432994812e-11
1.3690499783294436e-11,1.448151686644727e-09,1.2612484496081882e-07,2.8551110670202865e-13,5.882149554730993e-13,8.355671177361553e-12,1.6084687137567385e-12,2.4239189081415517e-14,2.5105509663859203e-11,5.2167358447684396e-11
3.2227904085044274e-06,7.935554706634978e-08,2.3077187867397705e-10,7.261404288704898e-10,1.8249370866879915e-09,3.3408682629046504e-10,1.4018187175309779e-09,3.0522274961981494e-06,0.005397494077011858,3.0199860757508344e-07
2.0563877583160207e-10,1.0615863155276651e-13,3.1434716000515304e-13,2.911518997724769e-08,0.00015342873873694203,6.950661515399223e-10,4.334509874742536e-12,1.553644529101743e-06,0.0004102925796715983,1.8398677374885598e-14
5.0962694813663725e-09,8.514128834746589e-11,4.7268353528809234e-08,2.5993605541084636e-16,3.6093405176046455e-15,6.9062606159825045e-09,3.1531508926126855e-16,6.604717499606625e-05,1.5974568260938203e-12,1.876584150836965e-14
1.0539484028556275e-08,6.17731531415723e-14,9.268063239691823e-07,7.0351460719844804e-15,2.807290555138856e-16,9.883603999442676e-11,3.207363589789077e-14,1.9480661919487097e-10,0.00010218486593286728,8.821625411223348e-09
0.0036750032741738733,3.2449588703710645e-13,4.0863243803657224e-11,3.3378818302655e-10,6.801865642457169e-06,7.272491414675069e-10,3.007675137373599e-14,3.326140927322386e-14,9.677603024602318e-06,8.621736484489143e-12
